kicker watchlist trade method method see prev post,1.0
movie return fear greed indicator trade year awesome,1.0
afraid short looking like near monopoly ebooks infrastructure service,0.0
current downtrend break otherwise short term correction med term downtrend,0.0
monday relative weakness nyx tie bmc,0.0
lower trend line channel test volume support,1.0
watch tomorrow long entry,1.0
assuming open tomorrow trigger buy still much like setup,1.0
it really worry everyone expects market rally usually exact opposite happens every time shall see soon bac spx jpm,1.0
gamco larry haverty apple is extremely cheap great video,1.0
maykiljil posted agree going higher possibly north,1.0
momentum coming back broke resistance solid volume friday long set,1.0
hitting mean resume targeting level,1.0
gameplan shot today liked trend break may c h break weekly trend break back july,1.0
gapping well ideal entry looking pull least open entry,1.0
great list particularly like all buy hold type check free list,1.0
nice buy breakout need follow thru,1.0
won believe uptrend back cross,0.0
swy float short breaking ouch,1.0
inverted head shoulder play well wasn able catch entry eye,1.0
close breaking my trigger,1.0
for quick trade late but investing good entry point imho,1.0
long trailing stop prior stop,1.0
volume today impressive at rate well probably get share traded today,1.0
adding uvxy long bottom today trade also got wpi near low,0.0
repeat global economy going get better year go instead,1.0
lnkd looking like good short failed break price level resistance today,0.0
like price action so far holding still deciding whether go long call stock,1.0
target notice shakeout reading buy dot monday,1.0
too early short move stock market need day settle patience coh bwld,0.0
robber hit apple store paris prefer take merchendise cash bullish,1.0
alxa here tip day buy you even sign newsletter anything lol if wrong eat crow,1.0
due move today kirby daily around still swinging,1.0
min short longs fully added look pop market shakeout reset,1.0
stellar move still long swing full position believe,1.0
article trade setup,1.0
sma acting good support short term momentum indicator switched upside,1.0
is at month high but showing sign stress,1.0
c two daily bull flag top bullish still,1.0
traditional point figure bullish buy signal multiyear high,1.0
jpm closed sma monday u know rule large cup n handle still bullish,1.0
ascending triangle original target extension eps feb th position swing,1.0
aapl daily broke downtrend closing price w v pattern back play target,1.0
pultegroup option bear bet million move april,0.0
short setup displaying relative weakness aro coh bwld prepare short stall,0.0
when monetize electronics make traffic marketplace wake say buy,1.0
starting clean book making first buy yr entry stop,1.0
cheer temporary solution economic woe entry stop,1.0
ovti ttm ending oct negative million operational cash flow decline v yoy ttm ending oct,0.0
respond positively good jobless claim number,1.0
analyst price target earnings target coming exactly want see prior reporting,1.0
nice color bull well,1.0
head up earnings le than week away tho the season doesn really begin cranking til w et al,1.0
trade idea buy market target cut,1.0
trade idea buy drc market target cut,1.0
look set make new now er unknown,1.0
trade one long verse sma,1.0
see solid move tom system predict nice green candle,1.0
this year fitness health apps winner gynormous speculation run high nke,1.0
it time invest compq,1.0
new post short will make dime longs will make dollar spx uup,1.0
unbelieveable payment trend chasing easily played public market mastercard time high,1.0
some watch list stock triggered today orex agnx tvl rvbd xide onty fsl chmt isil,1.0
nice bull flag breakout technology software,1.0
my setup alert went bonkers today one many got triggered cup handle breakout,1.0
the host congrats cloud today rax time high wow,1.0
did u steel just breakout,1.0
dndn broken clear resistanc level heavy volume could headed much higher,1.0
look good higher price,1.0
apc weekly setting long,1.0
going morning long call option call jan th expiration,1.0
path higher unthreatened unless support fails see resistance spx stock,1.0
monitor line price dynamic stock closed dec line new high price,1.0
had hoped pick today look like day late nice move morning,1.0
wow wa fast fast fade,0.0
going should go near market behaves week,1.0
breakout rd day look pullback enter long,1.0
ascend triangle much like breakout exten target fib subjective,1.0
kcg thing make go hmmmm,1.0
vrng huge news patent attorney dan ravicher,1.0
nhod check weekly target previous low,1.0
nhod see check weekly target previous low,1.0
american international group option trader bet move next friday,0.0
vrng buy v sell,1.0
in since consolidation level we could close market stable pm imho,1.0
vrng parabolic move comin,1.0
new sony pre owned block tech patent unearthed profit pre owned last one turn light,0.0
liked love entry new target yesterday nice,1.0
spx wave iv would point lower hod neckline bearish,0.0
consolidating strong move previous day next buy point volume holding,1.0
vrng mil share short plus long buying massive vrng short squeeze just thought story dead ravicher kill short thesis,1.0
wow good rt sale nook holiday,0.0
acur watch list volume pick full day average day bounce,1.0
the new wightwatchers ad fun light regular people interesting still dont trust position,0.0
holding well next buy point clear upper trend line heavy volume,1.0
exactly want see follow thru day breaking new high volume,1.0
spy qe now bring geithner,0.0
over extended stock market unexpected news fed minute down eurusd panicky nq,0.0
spy uncle ben needed spice thing little people bored wake,0.0
might close low day bear control descending trendline watch,0.0
seeking im adding synthetic short add,0.0
low day near high day watchn b minimal risk,1.0
all gme gamestop short target spy,0.0
time get cloud stock,0.0
keep overniight mmy po bin premarket tmorrow,1.0
polk expects u new vehicle registration reach million polk think low,1.0
very bullish market also talked trend scty fio show,1.0
kcg someone bought k jan call,1.0
man didnt know skippy made would thrown jar hormel,1.0
big move bond today month high rate still going lower could get truly ugly good nfp number spy,1.0
market wrap video addition watch list including son sqnm unxl,1.0
maybe vrng asked judge royalty became risky goog deal want settle,1.0
unxl on flag break,1.0
system brings next gen consumer printing ce,1.0
top april aston kutcher star job kinda like facebook social network came,0.0
vrng w macd turning signal line vrng could post nice rally current level,1.0
q q operational cash flow mo million decline v mo year ago,0.0
bbby q q operational cash flow million increase v year ago q improvement q q,1.0
mo operational cash flow million increase million v mo year ago increase,1.0
q q mo operational cash flow million v neg mil mo year ago,1.0
q operational cash flow neg million v year ago q negative million million improvement,1.0
quiet carl icahn bullish short paranoid every close get acquired think aapl msft amzn fb,1.0
aapl bull cannot break trend line obv,0.0
phantom calling ever since start thing given kcg,1.0
