2018-07-27,bell stock slump twitter earnings gdp data stock ended week downbeat note despite strong showing amazon com,1.0,-1.0,0.22
2018-07-27,united natural supervalu deal show eating food sector supermarket teaming beat back grocery offering big box store amazon startup,1.0,1.0,0.304
2018-07-27,look beyond fang facebook plunge spectacular important event coming ahead job report fed rate setting confab chinese move,0.0,1.0,0.096
2018-07-27,gm first republic stock pick patient sarat sethi ned dewees talk like financial industrial stock amazon netflix long term view economy rosy,1.0,1.0,0.174
2018-07-27,morning mover amazon shine amid gdp fizzle stock took small hit gdp figure released amazon lifting nasdaq,1.0,1.0,0.185
2018-07-28,amazon lead tech rival era shift willingness entertain opportunity gradually becoming norm tech business,1.0,1.0,0.471
2018-07-30,intraday update tired dow slump point market despondence could signalling coming correction possibly biggest since february writes one morgan stanley analyst perhaps really time get defensive,0.0,-1.0,0.103
2018-07-30,alphabet dominance tends feed company valuation well justified fund manager told barron teresa rivas,1.0,1.0,0.375
2018-07-30,vanzandt said amazon looking entrepreneur willing start delivery service network,0.0,1.0,0.159
2018-07-31,amazon washed retail revival department store may finally right track ralph lauren gaining earnings,0.0,1.0,0.273
2018-08-01,hanesbrands earnings stock tumble target number hanesbrands tumbled following earnings news exclusive target brand come end,1.0,1.0,0.167
2018-08-02,sonos ceo say ipo show people understand magic sonos investor road show seem gone smoothly multiroom smart speaker company banker hoped,1.0,1.0,0.218
2018-08-03,amazon arguing big profit revenue question make company second quarter result,0.0,-1.0,0.192
2018-08-06,home depot lowe earnings get stock moving analyst fairly upbeat ahead home improvement retailer upcoming earnings report,1.0,1.0,0.231
2018-08-07,alphabet billion waymo could boost share morgan stanley estimate autonomous vehicle company value among highest around,1.0,1.0,0.36
2018-08-08,disney thing need happen energize stock investor believe company plan transform,1.0,1.0,0.237
2018-08-08,worry netflix disney going skinny streaming walt disney investor got hint past week company vaunted direct consumer medium streaming offering look like launch late ala presentation left wanting,1.0,1.0,0.08
2018-08-08,tom taulli investor place august even though amazon com nasdaq amzn year old company lost startup way,1.0,1.0,0.089
2018-08-08,seems like company created perpetual growth machine note amzn stock year,1.0,1.0,0.47
2018-08-08,company aggressive targeting many large market category,0.0,-1.0,0.211
2018-08-08,aws amazon web service perhaps important,0.0,1.0,0.467
2018-08-08,next amazon ad business rapidly becoming major revenue generator,0.0,1.0,0.175
2018-08-08,note amazon often considered,0.0,1.0,0.362
2018-08-08,key part success company able leverage e commerce platform helped better tie ad monetization,1.0,1.0,0.375
2018-08-08,article fortune noted made billion dollar failure amazon com,0.0,-1.0,0.275
2018-08-08,year company built core technology ai voice recognition,0.0,-1.0,0.05
2018-08-08,example majority e commerce sale come third party merchant mean lower inventory cost,0.0,-1.0,0.148
2018-08-08,fact company posted billion profit past three quarter,0.0,1.0,0.293
2018-08-08,amazon new service launch first sacramento calif,1.0,1.0,0.221
2018-08-09,rising dividend data center giant equinix largest operator data center growth company reit,1.0,1.0,0.178
2018-08-09,kind comparison used attention grabbing headline true result big profit,1.0,1.0,0.565
2018-08-09,company offer wide array marijuana related product via website country,0.0,-1.0,0.05
